NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"Tyreek Hill","MIA",1,"33%","30%","39%","14%","30%","31%","47%","29%","29%","","28%","40%","28%","15%","","38%","32%","48%",171,10.7,30.2,119,69.6,13
"DJ Moore","CHI",1,"5%","24%","27%","26%","34%","33%","31%","16%","17%","27%","39%","35%","","30%","20%","22%","41%","38%",136,8,26.5,96,70.6,8
"DeAndre Hopkins","TEN",1,"38%","21%","28%","23%","31%","24%","","21%","28%","23%","29%","18%","36%","32%","35%","15%","27%","37%",137,8.1,27.7,75,54.7,7
"Mecole Hardman Jr.","KC",2,"","4%","","","","6%","7%","5%","10%","","5%","","","","","","","37%",24,2.2,3.8,15,62.5,
"Nico Collins","HOU",1,"25%","19%","10%","29%","11%","22%","","25%","12%","","29%","25%","43%","4%","","12%","25%","35%",109,7.3,18.4,80,73.4,8
"CeeDee Lamb","DAL",1,"16%","34%","18%","17%","19%","23%","","41%","36%","32%","22%","28%","41%","26%","29%","31%","45%","32%",181,10.6,29.5,135,74.6,12
"Justin Jefferson","MIN",1,"27%","30%","26%","47%","13%","","","","","","","","","8%","29%","28%","31%","32%",100,10,15.8,68,68,5
"Amon-Ra St. Brown","DET",1,"26%","20%","36%","25%","","34%","36%","24%","","27%","31%","25%","24%","26%","26%","35%","23%","31%",165,10.2,27.1,119,72.6,10
"Quez Watkins","PHI",2,"6%","","","","8%","","","","","","","","8%","","3%","","","31%",21,2.3,3.7,15,71.4,1
"Terry McLaurin","WAS",1,"13%","15%","21%","24%","10%","48%","21%","23%","18%","18%","16%","25%","13%","","33%","14%","21%","29%",131,7.8,20.8,79,59.8,4
"Drake London","ATL",1,"6%","25%","16%","23%","24%","26%","28%","21%","","19%","","33%","19%","28%","15%","12%","30%","26%",110,6.9,20.8,69,62.7,2
"Andrei Iosivas","CIN",2,"","","","","4%","3%","","3%","2%","2%","","8%","","","5%","19%","","25%",25,1.6,4.1,15,60,4
"Davante Adams","OAK",1,"35%","33%","45%","33%","13%","16%","27%","33%","28%","48%","32%","21%","","31%","33%","29%","45%","25%",175,10.3,31.4,103,58.9,8
"Diontae Johnson","PIT",1,"13%","","","","","","24%","33%","30%","17%","29%","24%","19%","19%","23%","19%","17%","25%",87,6.7,17.2,51,58.6,5
"Garrett Wilson","NYJ",1,"23%","30%","25%","36%","27%","36%","","36%","27%","35%","27%","26%","18%","39%","11%","31%","22%","25%",168,9.9,28,95,56.5,3
"Mike Evans","TB",1,"29%","24%","40%","9%","","27%","19%","14%","17%","34%","27%","29%","41%","21%","21%","26%","12%","25%",136,8,23.9,79,58.1,13
"Michael Pittman Jr.","IND",1,"28%","36%","25%","20%","27%","25%","22%","32%","31%","43%","","32%","38%","28%","18%","","30%","25%",156,9.8,27.2,109,69.9,4
"Puka Nacua","LAR",1,"39%","36%","21%","25%","30%","29%","41%","22%","25%","","23%","24%","19%","20%","24%","32%","24%","25%",159,9.4,27.4,105,65.6,6
"Xavier Gipson","NYJ",1,"","","","3%","","","","3%","4%","8%","7%","5%","16%","3%","16%","4%","16%","25%",38,2.2,6.3,21,55.3,
"Chris Conley","SF",2,"","","","","","","","","","","","","","","","","","23%",6,0.8,1.2,3,50,
"Calvin Ridley","JAX",1,"34%","19%","17%","7%","22%","27%","13%","31%","","9%","28%","16%","21%","26%","28%","20%","33%","23%",136,8,21.9,76,55.9,8
"Cedric Tillman","CLE",1,"","","","8%","","","","","3%","9%","5%","12%","14%","9%","18%","5%","14%","23%",44,3.1,7.1,21,47.7,
"Bo Melton","GB",2,"","","","","","","","","","","","","","","5%","21%","26%","22%",24,4.8,4.1,16,66.7,1
"Chris Godwin","TB",1,"18%","24%","20%","33%","","19%","29%","17%","20%","21%","16%","23%","10%","38%","43%","29%","15%","22%",130,7.6,22.9,83,63.8,2
"DJ Chark Jr.","CAR",1,"","3%","19%","9%","15%","15%","","13%","8%","","","13%","13%","11%","8%","22%","19%","22%",66,4.4,11.3,35,53,5
"Dontayvion Wicks","GB",2,"7%","16%","14%","3%","3%","","3%","10%","15%","10%","12%","","11%","15%","18%","7%","","22%",58,3.9,10,39,67.2,4
"Josh Reynolds","DET",1,"20%","17%","","21%","18%","7%","6%","3%","","12%","6%","9%","12%","11%","9%","10%","6%","22%",64,3.8,10.6,40,62.5,5
"DK Metcalf","SEA",1,"19%","15%","22%","15%","","22%","","38%","14%","26%","22%","33%","20%","16%","18%","17%","24%","21%",119,7.4,20.7,66,55.5,8
"Darius Slayton","NYG",1,"17%","16%","18%","9%","12%","17%","7%","14%","24%","15%","19%","12%","","10%","21%","9%","15%","21%",79,4.6,15.3,50,63.3,4
"Ja'Marr Chase","CIN",1,"28%","20%","31%","30%","41%","37%","","38%","18%","15%","23%","23%","31%","16%","10%","","21%","21%",145,9.1,23.6,100,69,7
"Joshua Palmer","LAC",1,"3%","12%","15%","33%","","19%","23%","10%","","","","","","","12%","24%","","21%",61,6.1,9.7,38,62.3,2
"Stefon Diggs","BUF",1,"32%","19%","38%","28%","28%","53%","29%","30%","18%","19%","25%","22%","","26%","33%","38%","23%","21%",160,9.4,27.6,107,66.9,8
"Zay Jones","JAX",1,"22%","14%","","","14%","","","","","","12%","8%","21%","28%","19%","","","21%",64,7.1,10.3,34,53.1,2
"Brandin Cooks","DAL",1,"16%","","18%","11%","15%","13%","","12%","5%","23%","10%","16%","10%","13%","18%","6%","21%","20%",81,5.1,13.2,54,66.7,8
"Jalen Reagor","NE",1,"","","","","","","3%","7%","14%","","","","4%","4%","6%","6%","12%","20%",24,2.2,4.3,7,29.2,
"Michael Wilson","ARI",1,"13%","10%","10%","17%","6%","10%","15%","16%","","19%","","","","","8%","11%","19%","20%",58,4.5,10.5,38,65.5,3
"Ronnie Bell","SF",1,"","","5%","5%","4%","","","","","4%","","","","","4%","2%","4%","19%",13,0.8,2.6,6,46.2,3
"Trey Palmer","TB",1,"9%","6%","4%","9%","","19%","5%","14%","13%","14%","13%","16%","17%","3%","7%","17%","15%","19%",68,4,12,39,57.4,3
"Jordan Addison","MIN",1,"14%","11%","16%","5%","19%","16%","22%","23%","19%","21%","19%","31%","","8%","18%","11%","16%","18%",108,6.4,17.1,70,64.8,10
"Jerry Jeudy","DEN",1,"","16%","18%","18%","23%","23%","17%","32%","","10%","20%","14%","15%","18%","22%","14%","19%","18%",87,5.4,17,54,62.1,2
"Jaxon Smith-Njigba","SEA",1,"19%","15%","8%","23%","","12%","29%","11%","25%","11%","15%","11%","27%","23%","12%","19%","6%","18%",93,5.5,16.2,63,67.7,4
"Nelson Agholor","BAL",1,"","18%","13%","11%","13%","10%","4%","4%","3%","9%","4%","6%","","12%","4%","11%","9%","18%",45,2.6,9.1,35,77.8,4
"Wan'Dale Robinson","NYG",1,"","","15%","18%","19%","22%","7%","7%","17%","11%","15%","20%","","33%","11%","22%","22%","18%",78,5.2,15.1,60,76.9,1
"Alec Pierce","IND",1,"8%","6%","16%","8%","8%","11%","13%","12%","8%","4%","","15%","14%","8%","18%","19%","4%","17%",65,3.8,11.3,32,49.2,2
"Adam Thielen","CAR",1,"5%","27%","24%","25%","32%","33%","","35%","15%","26%","38%","10%","19%","19%","29%","22%","19%","17%",137,8.1,23.4,103,75.2,4
"Demario Douglas","NE",1,"13%","5%","10%","10%","6%","","20%","24%","16%","33%","","26%","","","16%","24%","19%","17%",78,5.6,14,49,62.8,
"Rondale Moore","ARI",1,"10%","3%","29%","5%","16%","17%","12%","8%","10%","25%","3%","7%","9%","","8%","8%","13%","17%",62,3.6,11.2,40,64.5,1
"Tutu Atwell","LAR",1,"21%","16%","27%","22%","14%","4%","7%","12%","25%","","10%","9%","5%","2%","","","","17%",67,4.2,11.5,39,58.2,3
"Jakobi Meyers","OAK",1,"38%","","27%","10%","32%","22%","29%","5%","20%","7%","12%","21%","","19%","11%","24%","21%","16%",106,6.6,19,71,67,8
"Khalil Shakir","BUF",1,"","3%","3%","4%","2%","3%","10%","15%","11%","8%","12%","10%","","2%","7%","14%","13%","16%",45,2.6,7.8,39,86.7,2
"Tre Tucker","OAK",2,"","4%","","","3%","6%","7%","","12%","","17%","3%","","3%","11%","5%","11%","16%",34,2.1,6.1,19,55.9,2
"Brandon Aiyuk","SF",1,"28%","24%","","29%","28%","37%","20%","29%","","11%","24%","13%","26%","33%","18%","15%","29%","15%",105,6.6,21.4,75,71.4,7
"Brandon Johnson","DEN",2,"9%","9%","8%","4%","3%","9%","","","","","","","","","3%","14%","19%","15%",30,2.3,5.8,19,63.3,4
"Chris Moore","TEN",2,"3%","4%","12%","12%","","5%","","","5%","10%","6%","14%","3%","3%","15%","7%","12%","15%",35,2.1,7.1,22,62.9,
"David Bell","CLE",2,"3%","8%","","","","9%","","","","","","5%","5%","7%","","5%","10%","15%",23,1.5,3.7,14,60.9,3
"James Proche II","CLE",1,"","","","","","","","","","3%","","","","","","","","15%",5,0.5,0.8,0,0,
"Ray-Ray McCloud III","SF",3,"","","","10%","4%","7%","10%","6%","","","","3%","","","","","","15%",15,1.2,3.1,12,80,
"Sterling Shepard","NYG",2,"3%","3%","","3%","6%","","3%","","","15%","12%","12%","","","","","2%","15%",22,1.5,4.2,10,45.5,1
"Xavier Hutchinson","HOU",2,"2%","2%","","","","","","","","3%","","3%","","11%","8%","4%","9%","15%",19,1.2,3.2,8,42.1,
"Britain Covey","PHI",1,"","","","","","","","","","","","","","","","3%","","14%",6,0.4,1.1,4,66.7,
"Curtis Samuel","WAS",1,"16%","8%","14%","20%","14%","17%","19%","8%","","14%","4%","27%","22%","","25%","17%","14%","14%",91,5.7,14.3,62,68.1,4
"Rashid Shaheed","NO",1,"18%","11%","6%","18%","8%","12%","15%","10%","9%","21%","","13%","","","14%","22%","9%","14%",75,5,12.4,46,61.3,5
"Tyler Lockett","SEA",1,"15%","24%","19%","23%","","20%","21%","24%","29%","21%","18%","19%","20%","19%","27%","31%","15%","14%",122,7.2,21.2,79,64.8,5
"DeVante Parker","NE",1,"","19%","10%","13%","13%","9%","3%","7%","","","","14%","36%","","16%","15%","8%","13%",55,4.2,9.9,33,60,
"Greg Dortch","ARI",1,"","","","","","2%","","","5%","","27%","20%","13%","","8%","13%","23%","13%",41,2.6,7.4,24,58.5,2
"Justyn Ross","KC",3,"3%","","3%","","10%","","","","","","","","","","","2%","","13%",11,1.1,1.7,6,54.5,
"Courtland Sutton","DEN",1,"15%","22%","29%","18%","10%","27%","21%","16%","","38%","14%","27%","27%","12%","19%","3%","","12%",90,5.6,17.5,59,65.6,10
"Josh Downs","IND",1,"18%","15%","27%","12%","23%","15%","26%","22%","4%","11%","","32%","12%","8%","11%","24%","9%","12%",98,5.8,17.1,68,69.4,2
"Jayden Reed","GB",1,"19%","32%","16%","14%","7%","","12%","15%","12%","12%","15%","25%","14%","26%","21%","","24%","12%",94,5.9,16.2,64,68.1,8
"Malik Heath","GB",3,"4%","4%","5%","","","","","","4%","","2%","12%","6%","5%","8%","4%","6%","12%",24,1.8,4.1,15,62.5,1
"Tyler Johnson","LAR",3,"","","","","","","","","","","","","","","","","","12%",3,3,0.5,2,66.7,1
"Tyler Scott","CHI",1,"5%","","14%","","","17%","10%","8%","7%","3%","9%","","","3%","10%","","16%","12%",32,1.9,6.2,17,53.1,
"Alex Erickson","LAC",2,"","","","","","","","","","","3%","7%","3%","17%","6%","6%","21%","11%",29,3.6,4.6,16,55.2,1
"A.T. Perry","NO",1,"","","","","","","","","","9%","","5%","10%","4%","7%","2%","6%","11%",18,1.8,3,12,66.7,4
"Charlie Jones","CIN",1,"","","4%","","","","","","","","","","","","7%","2%","","11%",9,0.8,1.5,7,77.8,
"Chris Olave","NO",1,"30%","30%","32%","15%","19%","20%","27%","31%","23%","21%","","24%","28%","19%","","32%","18%","11%",138,8.6,22.8,87,63,5
"Cedrick Wilson Jr.","MIA",1,"","","","6%","13%","","9%","2%","15%","","10%","","","12%","12%","14%","11%","11%",38,2.5,6.7,22,57.9,3
"Ihmir Smith-Marsette","CAR",1,"","","","","","","","","","","","3%","","3%","8%","3%","9%","11%",10,0.6,1.7,8,80,
"Jahan Dotson","WAS",1,"23%","13%","14%","22%","10%","4%","19%","19%","18%","5%","9%","14%","22%","","3%","11%","4%","11%",83,4.9,13.1,49,59,4
"Julio Jones","PHI",1,"","","","","","","3%","5%","","","9%","10%","","","3%","11%","8%","11%",19,1.7,3.4,11,57.9,3
"Keelan Doss","LAC",3,"","","","","","","","","","","","","","","","","21%","11%",13,2.6,2.1,6,46.2,
"Kyle Philips","TEN",1,"","","","","3%","10%","","10%","13%","13%","6%","7%","","","","","","11%",22,2.4,4.5,15,68.2,
"Laquon Treadwell","BAL","","","","","","","","","","","","","","","","","","","11%",3,0.6,0.6,1,33.3,
"Olamide Zaccheaus","PHI",2,"","","8%","5%","","4%","3%","5%","9%","","5%","3%","","4%","","3%","","11%",20,1.2,3.6,10,50,2
"Quentin Johnston","LAC",1,"9%","5%","6%","12%","","5%","7%","15%","10%","10%","17%","7%","19%","10%","9%","15%","16%","11%",67,3.9,10.6,38,56.7,2
"Trent Sherfield","BUF",2,"","","9%","12%","2%","","2%","","5%","","","6%","","5%","","","10%","11%",22,1.3,3.8,11,50,1
"Isaiah Hodgins","NYG",2,"10%","14%","3%","9%","6%","","14%","","3%","7%","12%","4%","","10%","3%","","5%","9%",33,1.9,6.4,21,63.6,3
"K.J. Osborn","MIN",2,"14%","14%","6%","11%","19%","16%","13%","29%","6%","","6%","12%","","19%","6%","19%","","9%",75,4.7,11.9,48,64,3
"Van Jefferson","ATL",1,"13%","7%","9%","8%","","4%","8%","15%","11%","5%","","10%","","","5%","9%","15%","9%",43,2.5,8.1,20,46.5,
"Ben Skowronek","LAR",2,"5%","2%","3%","","3%","","","3%","","","","3%","8%","","","","","8%",12,0.7,2.1,8,66.7,1
"Deebo Samuel","SF",1,"24%","36%","32%","","12%","4%","","","","14%","16%","29%","15%","33%","25%","26%","21%","8%",89,5.9,18.1,60,67.4,7
"John Metchie III","HOU",1,"","2%","7%","6%","6%","","","","2%","5%","3%","6%","11%","18%","3%","6%","9%","8%",30,1.9,5.1,16,53.3,
"Jalen Tolbert","DAL",2,"4%","11%","","11%","","","","3%","11%","11%","12%","9%","2%","3%","","6%","3%","8%",36,2.1,5.9,22,61.1,2
"Braxton Berrios","MIA",1,"11%","10%","7%","17%","7%","6%","6%","7%","","","","3%","","6%","4%","","5%","7%",33,2.1,5.8,27,81.8,1
"Brandon Powell","MIN",1,"","","2%","","13%","13%","11%","9%","8%","15%","12%","9%","","3%","","11%","6%","7%",44,2.6,7,29,65.9,1
"Chase Claypool","MIA",4,"5%","28%","18%","","","","","4%","","","","","","","8%","","3%","7%",21,1.8,3.7,8,38.1,1
"Richie James","KC",1,"5%","2%","","","","","","","","","","","6%","5%","3%","7%","3%","7%",14,1.6,2.2,10,71.4,
"Tyler Boyd","CIN",1,"9%","20%","18%","23%","15%","20%","","9%","11%","30%","19%","19%","18%","12%","12%","17%","6%","7%",98,5.8,15.9,67,68.4,2
"Trenton Irwin","CIN",2,"","","","3%","22%","","","6%","","10%","16%","4%","3%","","","10%","6%","7%",32,2,5.2,25,78.1,1
"Tylan Wallace","BAL",1,"","","","","","","","","","","","","","","","","","7%",2,0.2,0.4,1,50,
"Donovan Peoples-Jones","DET",2,"7%","10%","12%","11%","","3%","8%","","","","3%","","4%","3%","3%","2%","","6%",25,1.7,4.1,13,52,
"Equanimeous St. Brown","CHI",2,"","","","3%","3%","","","","","3%","9%","","","","","","","6%",6,0.9,1.2,5,83.3,
"Jalin Hyatt","NYG",1,"3%","5%","","6%","","11%","17%","","17%","4%","8%","24%","","14%","8%","","10%","6%",40,2.4,7.7,23,57.5,
"Kalif Raymond","DET",1,"3%","9%","18%","4%","11%","7%","4%","11%","","12%","6%","11%","","11%","3%","5%","3%","6%",44,2.6,7.3,35,79.5,1
"Scotty Miller","ATL",1,"","","","","5%","4%","4%","6%","","5%","","10%","","8%","","3%","","6%",16,0.9,3,11,68.8,2
"Terrace Marshall Jr.","CAR",2,"16%","","14%","31%","","8%","","3%","3%","8%","","","","","","","","6%",33,3.7,5.6,19,57.6,
"Allen Robinson II","PIT",1,"17%","10%","14%","7%","28%","","4%","2%","7%","","14%","3%","11%","8%","12%","15%","","5%",49,2.9,9.7,34,69.4,
"Gabe Davis","BUF",1,"10%","19%","12%","12%","20%","13%","12%","30%","5%","23%","","24%","","5%","7%","29%","10%","5%",81,4.8,14,45,55.6,7
"Irvin Charles","NYJ",2,"","","","","","","","","","","","","","","","","","5%",1,0.1,0.2,0,0,
"Jason Brownlee","NYJ",3,"","","","","","","","","","","","5%","","","","6%","4%","5%",8,1.1,1.3,5,62.5,1
"Michael Gallup","DAL",1,"8%","5%","18%","17%","19%","33%","","9%","7%","5%","12%","3%","2%","13%","3%","6%","","5%",57,3.4,9.3,34,59.6,2
